customer_id,product_id,rating,content,title,thank_count,customer_index,product_index
7165593,275337800,5,Ok,Cực kì hài lòng,0,153,1200
7100618,275337800,5,Giao nhanh,Cực kì hài lòng,0,151,1200
14655468,275337800,5,,Cực kì hài lòng,0,259,1200
22684527,275337800,4,ok,Hài lòng,0,333,1200
14361212,275337800,4,sach hay,Hài lòng,0,256,1200
334762,275337800,5,,Cực kì hài lòng,0,23,1200
8691757,275337800,5,,Cực kì hài lòng,0,190,1200
677395,275337800,5,,Cực kì hài lòng,0,45,1200
6516078,275337800,4,,Hài lòng,0,138,1200
19446943,195801687,5,,Cực kì hài lòng,0,309,793
8227804,195801687,5,,Cực kì hài lòng,0,178,793
17506038,195801687,5,,Cực kì hài lòng,0,287,793
5169835,76176359,1,"Nhiều lần Tiki đóng hàng sơ sài, thùng đựng xộc xệch. Sách hay bị hỏng góc, gập bìa, gập trang !!!",Rất không hài lòng,0,105,399
5917418,76176359,5,,Cực kì hài lòng,0,125,399
1344932,76176359,5,,Cực kì hài lòng,0,67,399
10418172,76176359,5,,Cực kì hài lòng,0,207,399
21558077,76176359,5,,Cực kì hài lòng,0,322,399
7768967,76176359,5,,Cực kì hài lòng,0,165,399
13541376,76176359,5,SÂU SẮC,Cực kì hài lòng,0,248,399
16206233,76176359,5,,Cực kì hài lòng,0,274,399
396187,76176359,5,sách rất hay,Cực kì hài lòng,1,27,399
13513176,76176359,5,,Cực kì hài lòng,0,247,399
8453118,76176359,5,,Cực kì hài lòng,0,184,399
5848334,76176359,5,,Cực kì hài lòng,0,122,399
664787,76176359,5,,Cực kì hài lòng,0,44,399
22970362,21435644,5,Hay và bổ ích. Nên mua,Cực kì hài lòng,0,335,232
17786300,21435644,5,Sách của idol mãi đỉnh,Cực kì hài lòng,0,293,232
1782676,21435644,4,,Hài lòng,0,83,232
11476110,1387539,5,,Cực kì hài lòng,0,224,113
7518989,1387539,5,,Cực kì hài lòng,0,161,113
11944614,1387539,5,Sách rất đẹppp,Cực kì hài lòng,0,232,113
16920235,1387539,5,"M đặt về ĐN nên ship lâu hơn nhiều so với trước, nhưng sách vẫn đẹp lắm ạ",Cực kì hài lòng,0,281,113
8264530,1387539,5,Sách hay,Cực kì hài lòng,1,180,113
9786862,1387539,5,,Cực kì hài lòng,0,199,113
334762,1387539,5,,Cực kì hài lòng,0,23,113
451499,1387539,5,,Cực kì hài lòng,0,30,113
8993466,1387539,5,,Cực kì hài lòng,0,193,113
93650,1387539,5,,Cực kì hài lòng,0,10,113
6746297,15180358,5,"Tiki gói hàng cẩn thận, giao hàng cực nhanh với dịch vụ Tikinow. Sách mới, không nhàu nát, giá còn khá rẻ so với giá bìa. Nói chung khá hài lòng về dịch vụ của Tiki.",Cực kì hài lòng,0,146,218
386342,15180358,4,"Vì là nhà cung cấp khác Tiki Trading nên thời gian chuẩn bị hàng lâu (khoảng 1 tuần), nhưng sách nhận rất đẹp, còn mới, bookmark đúng như hình mô tả. Hài lòng.",Sách đúng như hình,0,26,218
16920235,15180358,5,"Tiki giao hàng siêu nhanh ạ, m đặt t7 mà t2 đã giao rồi, cảm ơn tiki",Cực kì hài lòng,0,281,218
21500023,15180358,5,Còn mới đóng gói đẹp chắc chắn giao hàng nhanh,Cực kì hài lòng,0,321,218
6590616,15180358,5,,Cực kì hài lòng,0,140,218
6680036,15180358,5,,Cực kì hài lòng,0,144,218
16141175,55066553,5,,Cực kì hài lòng,0,271,361
6682650,55066553,5,"Sách còn mới mặc dù ko có áo bọc, chất liệu giấy tốt. Hài lòng với dịch vụ của Tiki!",Cực kì hài lòng,0,145,361
21654527,55066553,5,,Cực kì hài lòng,0,324,361
12088578,116396339,5,"sách đóng gói cẩn thận, giao hàng nhanh, rất hài lòng 👍",Cực kì hài lòng,0,234,607
1728034,116396339,5,,Cực kì hài lòng,0,80,607
22235987,116396339,5,,Cực kì hài lòng,0,327,607
98653,116396339,5,,Cực kì hài lòng,0,11,607
28001953,274927641,4,nội dung ko dễ hiểu với người tay ngang,Hài lòng,0,343,1162
17506038,274927641,5,,Cực kì hài lòng,0,287,1162
22693770,274927641,5,,Cực kì hài lòng,0,334,1162
11474751,274927641,5,,Cực kì hài lòng,0,223,1162
11474751,170708229,4,,Hài lòng,0,223,744
27837115,170708229,4,"Mình chưa đọc, nên chưa biết nội dung gửi shop 4 sao trước he",Hài lòng,0,341,744
