customer_id,product_id,rating,content,title,thank_count
20212495,95039297,5,,Cực kì hài lòng,0
25714874,95039297,4,,Hài lòng,0
13429661,95039297,5,,Cực kì hài lòng,0
7833431,95039297,5,,Cực kì hài lòng,0
17606737,95039297,4,,Hài lòng,0
13508272,95039297,5,,Cực kì hài lòng,0
16337843,95039297,5,,Cực kì hài lòng,0
1507243,95039297,5,Hữu ích,Cực kì hài lòng,0
7243368,95039297,5,,Cực kì hài lòng,0
5249673,95039297,5,,Cực kì hài lòng,0
12960988,95039297,5,,Cực kì hài lòng,0
6853690,106362503,5,,Cực kì hài lòng,0
5461671,106362503,5,,Cực kì hài lòng,0
21060232,106362503,5,,Cực kì hài lòng,0
12117108,106362503,3,"sách ổn, hàng nên bao cẩn thận.",Bình thường,0
19582643,22482263,5,,Cực kì hài lòng,0
6182288,22482263,5,,Cực kì hài lòng,0
23556194,22482263,5,ok,Cực kì hài lòng,0
25983882,22482263,4,,Hài lòng,0
1034436,22482263,5,,Cực kì hài lòng,0
24019346,22482263,5,,Cực kì hài lòng,0
15112487,22482263,5,,Cực kì hài lòng,0
160172,22482263,5,,Cực kì hài lòng,0
6559220,41092375,5,,Cực kì hài lòng,1
12089352,32530071,5,Hay,Cực kì hài lòng,0
24722789,32530071,5,,Cực kì hài lòng,0
14949617,32530071,4,,Hài lòng,0
13922001,32530071,5,,Cực kì hài lòng,0
9033950,32530071,5,sách chất lượng,Cực kì hài lòng,0
17342450,32530071,5,,Cực kì hài lòng,0
9136153,32530071,5,,Cực kì hài lòng,0
18560452,32530071,5,Hài lòng,Cực kì hài lòng,0
15900242,32530071,4,,Hài lòng,0
14692831,32530071,5,,Cực kì hài lòng,0
18989607,32530071,5,,Cực kì hài lòng,0
979506,32530071,5,Sách hay.,Cực kì hài lòng,0
14246573,32530071,4,,Hài lòng,0
13802628,177999989,5,,Cực kì hài lòng,0
5804447,106362512,5,,Cực kì hài lòng,0
22248866,226206721,5,,Cực kì hài lòng,0
6365325,106362650,5,,Cực kì hài lòng,0
255308,40848432,5,"Đợt này khám phá ra tác giả này, Nassim Nicholas Taleb (dù hơi muộn) và thích cụ này kinh. Bổ sung cụ ngay vào bộ sưu tập các tác giả yêu thích: Malcolm Gladwell, Dan Ariely, Jared Diamond... . Có thể nói Taleb như là Father of Randomness vậy, vì ông viết rất nhiều và rất sâu về chủ đề Sự ngẫu nhiên cũng như tác động của nó và ta nên ứng xử, adapt như thế nào. Đọc hết loạt sách của bác này thì cảm giác hoang mang cực độ, vì thấy năng lực hay ý chí nhiều khi nó chỉ để cho vui 😆 Còn gặp đúng thời đúng vận thì đỡ không nổi. Anyway, không đến nỗi bất lực và tuyệt vọng như thế, mọi người đọc thêm để biết nhé.",Cực kì hài lòng,3
26959942,40848432,5,,Cực kì hài lòng,0
406122,40848432,5,sách hay,Cực kì hài lòng,0
1036905,40848432,5,,Cực kì hài lòng,0
5820346,40848432,4,,Hài lòng,0
1165194,38113246,5,Cuốn sách tuyệt vời giành cho các CEO doanh nghiệp nhỏ và vừa về hệ sinh thái quản trị công ty toàn diện.,Cực kì hài lòng,0
22955455,37320767,5,"vận chuyển nhanh, đóng gói cẩn thận@@!",Cực kì hài lòng,0
17586060,37320767,5,,Cực kì hài lòng,0
8766526,37320767,5,,Cực kì hài lòng,0
6794630,37320767,5,Rất hay,Cực kì hài lòng,0
1796658,37320767,5,,Cực kì hài lòng,0
14526415,37320767,5,,Cực kì hài lòng,0
7970445,37320767,4,,Hài lòng,0
17721163,74855023,5,"Sách hay, nâng cao nỗ lực và ý chí cho con người, người khuyết tật làm được sao người bình thường khỏe mạnh lại ko làm được",Cực kì hài lòng,0
13603919,74855023,4,,Hài lòng,0
28178986,74855023,5,"sách hay, chất lượng giấy tốt",Cực kì hài lòng,0
21698556,74855023,5,,Cực kì hài lòng,0
28805346,74855023,5,,Cực kì hài lòng,0
16545148,74855023,5,Tuyệt,Cực kì hài lòng,0
11552884,74855023,5,"giá tốt, in đẹp",Cực kì hài lòng,0
12495839,74855023,1,Sach goi can than gia tot,Rất không hài lòng,0
374211,74855023,5,"Quyển sách hay, giàu nghị lực",Cực kì hài lòng,0
2049529,74855023,5,,Cực kì hài lòng,0
5809060,74855023,5,,Cực kì hài lòng,0
21563270,74855023,5,,Cực kì hài lòng,0
6908566,74855023,5,Gói cẩn thận,Cực kì hài lòng,0
22674483,74855023,5,Sách hay,Cực kì hài lòng,0
20491001,74855023,5,,Cực kì hài lòng,0
18367675,74855023,5,,Cực kì hài lòng,0
19761309,74855023,5,,Cực kì hài lòng,0
757389,20703321,5,,Cực kì hài lòng,0
8484868,20703321,5,,Cực kì hài lòng,0
25344940,32900061,4,Tuyệt vời,Hài lòng,0
26675252,32900061,5,very good,Cực kì hài lòng,0
5250622,32900061,5,Săn deal có 11k.. Tiki giai nhanh.. Không hỗ trợ bookcare nên hơi tiếc,Cực kì hài lòng,0
17863719,32900061,5,"Tiki giao hàng cực nhanh luôn, sách nhận về còn nguyên vẹn. Mình cực kì hài lòng. Cảm ơn Tiki ♥️",Cực kì hài lòng,0
17153691,32900061,5,sáh siêu hay siêu thích nma k đk bọc cx k có book mark,Cực kì hài lòng,0
20667244,32900061,5,,Cực kì hài lòng,0
20753218,32900061,5,hay,Hài lòng,0
12570655,32900061,5,,Cực kì hài lòng,0
13238607,32900061,5,rất hay,Cực kì hài lòng,0
16180340,32900061,5,,Cực kì hài lòng,0
1374854,32900061,5,,Cực kì hài lòng,0
8662346,32900061,5,,Cực kì hài lòng,0
20053365,32900061,4,,Hài lòng,0
1566591,32900061,5,,Cực kì hài lòng,0
19540287,32900061,4,,Hài lòng,0
16058289,32900061,5,quyển siêu trí nhớ tuyệt vời,Cực kì hài lòng,0
6468863,37169528,5,,Cực kì hài lòng,0
6081950,37169528,5,"Tôi rất vui khi nhận được gói hàng bọc cẩn thận, sách in rõ ràng, không bị rách hay nhàu nhĩ. Xin cảm ơn",Hài lòng,0
